benefit,sub-benefit,category,plain language,strength of science,,study description,study source,link to study 1,link to study 2,link to study 3,link to study 4,link to study 5,,,,other link,dropoff >>>,http://www.mindandlife.org/meditation-its-not-what-you-think/,http://www.huffingtonpost.com/2013/09/16/eight-meditation-brain-benefits_n_3903855.html?ir=Healthy+Living,http://en.wikipedia.org/wiki/Research_on_meditation#Research_by_effects_of_meditation
https://informationisbeautiful.net/visualizations/what-is-meditation-mindfulness-good-for/,,,,"4 strong, 3 promising, 2 inconclusive, 1 slight, 0 none",,,,,,,,,,,,,,,,
attention,,,,,,,,,,,,,,,,,,,,
,focus + concentration,cognitive,"Improves ability to concentrate on tasks and ignore distractions. Measurable differences in brain activity between regular meditators and non-meditators in regions responsible for controlling and directing attention, even while not meditating.",4,,,,,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"Performance on a 32-min response inhibition task following one month of intensive, daily Vipassana meditation training showed improved response inhibition accuracy and reductions in reaction time variability compared to controls. Critically, increases in concentration predicted improvements in reaction time variability, suggesting a link between the experience of concentrative engagement and ongoing fluctuations in attentional stability. By incorporating experiential measures of task performance, the present study corroborates phenomenological accounts of stable, clear attentional engagement with the object of meditative focus following extensive training.",Zanesco et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/24065902,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"study shows that amount of time an individual spends practicing meditation is associated with activity and connectivity changes in the brain, particularly in attentional regions. Participants with more meditation experience exhibited increased connectivity within attentional networks, as well as between attentional regions and medial frontal regions. These neural relationships may be involved in the development of cognitive skills, such as maintaining attention and disengaging from distraction, that are often reported with meditation practice. Furthermore, because altered connectivity of brain regions in experienced meditators was observed in a non-meditative (resting) state, this may represent a transference of cognitive abilities “off the cushion” into daily life.",Hasenkamp and Barsalou 2012,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3290768/,,,,,,,,-,,,,
,focus + concentration,cognitive,,,,replicable longitudinal changes in brain oscillatory activity (as measured by an EEG) during meditation,Saggar et al 2012,http://www.ncbi.nlm.nih.gov/pubmed/22973218,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"mindfulness meditation may alter the efficiency of allocating cognitive resources, leading to improved self-regulation of attention.",Moore et al 2012,http://www.ncbi.nlm.nih.gov/pubmed/22363278,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"6 weeks of meditation training, compared to relaxation or no training, appears to help reduce emotional interference on tasks and increases attention regulation. Undergraduate subjects rated images as significantly less negative and found tasks less anxiety-inducing and difficult. Attention and concentration also increased.",Menezes et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/23935694,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"A review of 23 studies on the effect of mindfulness meditation practices on attention, memory, executive functions and other measures of cognition found overall that early phases of mindfulness training, which are more concerned with the development of focused attention, could be associated with significant improvements in selective and executive attention whereas the following phases, which are characterized by an open monitoring of internal and external stimuli, could be mainly associated with improved unfocused sustained attention abilities. Additionally, MMPs could enhance working memory capacity and some executive functions. However, many of the included studies show methodological limitations and negative results have been reported as well, plausibly reflecting differences in study design, study duration and patients' populations. ",Chiesa et al 2011,http://www.ncbi.nlm.nih.gov/pubmed/21183265,,,,,,,,,,,,
,focus + concentration,cognitive,,,,"meditation training can help people working with information stay on tasks longer with fewer distractions and also improves memory and reduces stress. 15 multitasking human resources personnel who underwent 8 weeks of meditation stayed on tasks longer and made fewer task switches than control groups, as well as reporting less negative emotion after task performance.",Levy et al 2012,http://faculty.washington.edu/wobbrock/pubs/gi-12.02.pdf,,,,,,,,http://www.sciencedaily.com/releases/2012/06/120614094118.htm,,,,
,focus + concentration,cognitive,,,, Neuroimaging studies showed that MM practice activates the prefrontal cortex (PFC) and the anterior cingulate cortex (ACC) and that long-term meditation practice is associated with an enhancement of cerebral areas related to attention.,Chiesa and Serretti 2010,http://www.ncbi.nlm.nih.gov/pubmed/19941676,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,visual discrimination,cognitive,Meditation training may help people focus for a long time on a task that requires them to distinguish small differences between things they see.,1,,meditation training helps people do better at focusing for a long time on a task that requires them to distinguish small differences between things they see,Maclean et al 2010,http://www.ncbi.nlm.nih.gov/pubmed/20483826,,,,,,,,http://www.sciencedaily.com/releases/2010/07/100714121737.htm,,,,
,musical engagement,cognitive + emotional,"Focusing on the physical sensation of breathing before listening to music appears to increase aesthetic sensitivity and focused engagement, enhancing the experience.",1,,"Study [forthcoming in Psychology of Music] found a rise of focused engagement among 132 student participants who listened to a 10-minute excerpt of Giacomo Puccini's opera ""La Boheme"" after listening to a 15-minute recording of a segment produced by the Duke University Center for Mindfulness Research.","University of Oregon (2013, January 30). Mindfulness meditation heightens a listener's musical engagement",http://uonews.uoregon.edu/archive/news-release/2013/1/mindfulness-meditation-heightens-listeners-musical-engagement,,,,,,,,http://www.sciencedaily.com/releases/2013/01/130130132415.htm,,,,
,,,,,,,,,,,,,,,,,,,,
intelligence,,,,,,,,,,,,,,,,,,,,
